rank,lemma,reading,score,model_score,correction_delta,band,core_rank,pmw,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,translations,rank_base,frequency_blend,learner_source_confidence,goethe_stem_learner_source_known,openlingo_learner_source_known,wordfreq_de_commonness_score,opensubtitles_cistem_frequency_score,translation_count_score,reverse_support_score
1,dies,,0.07247,0.07247,0.0,0.05-0.10,4.0,4171.700337,normal_vocab,PRO:DEM:AKK:SIN:NEU:B/S|PRO:DEM:NOM:SIN:NEU:B/S,other,,,,,,,,this; this and that; speculate about what would happen if this or that were to occur,0.144341,0.109355,0.832,1.0,0.0,0.749333,0.833458,0.540476,0.333333
2,ihr,,0.080118,0.080118,0.0,0.05-0.10,2.0,4555.045774,normal_vocab,PRO:PER:DAT:SIN:FEM|PRO:PER:NOM:PLU:ALG:2:B|PRO:POS:AKK:SIN:NEU:BEG|PRO:POS:NOM:SIN:MAS:BEG|PRO:POS:NOM:SIN:NEU:BEG,other,,,,,,,,yours; your; answering your question is not easy.,0.098528,0.079729,0.9568,0.0,1.0,0.829333,0.886312,1.0,1.0
3,kein,,0.083086,0.083086,0.0,0.05-0.10,29.0,1844.206132,normal_vocab,PRO:IND:AKK:SIN:NEU:BEG|PRO:IND:NOM:SIN:MAS:BEG|PRO:IND:NOM:SIN:NEU:BEG,other,,,,,,,,,0.305034,0.238849,0.986392,1.0,1.0,0.788,0.860019,0.0,0.0
4,ander,,0.08667,0.08667,0.0,0.05-0.10,7.0,3385.800434,normal_vocab,,other,restricted_admission,,fragment_or_nonlemma_form,False,active,"Reviewed restricted label and tight signal-probe hit: learner-source evidence exists, but the row has no POS, no translations, and behaves like a fragment rather than standalone SRS vocabulary.",yes,,0.186493,0.143053,0.97408,1.0,1.0,0.430667,0.804323,0.0,0.0
5,er,,0.091828,0.091828,0.0,0.05-0.10,26.0,1972.12714,normal_vocab,PRO:PER:NOM:SIN:MAS,other,,,,,,,,he; he and his,0.295585,0.230275,0.76,0.0,0.0,0.894667,0.908312,0.428317,0.333333
6,der,,0.094047,0.094047,0.0,0.05-0.10,19.0,2362.43237,normal_vocab,ART:DEF:DAT:SIN:FEM|ART:DEF:GEN:PLU:FEM|ART:DEF:GEN:PLU:MAS|ART:DEF:GEN:PLU:NEU|ART:DEF:GEN:SIN:FEM|ART:DEF:NOM:SIN:MAS|PRO:DEM:DAT:SIN:FEM|PRO:DEM:NOM:SIN:MAS|PRO:PER:NOM:SIN:MAS,other,,,,,,,,the; that; who,0.26867,0.206377,0.76,0.0,0.0,0.994667,0.924066,0.810714,1.0
7,sollen,,0.102241,0.102241,0.0,0.10-0.15,12.0,3062.726811,normal_vocab,VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,verb,,,,,,,,shall; should; you should have seen it!,0.230036,0.172053,0.986392,1.0,1.0,0.734667,0.069005,1.0,1.0
8,mann,,0.105809,0.105809,0.0,0.10-0.15,42.0,1591.844013,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,husband; man; the right man in the right place,0.33732,0.264017,0.986392,1.0,1.0,0.764,0.812048,0.897712,0.666667
9,gut,,0.107117,0.107117,0.0,0.10-0.15,14.0,2735.755703,normal_vocab,ADJ:PRD:GRU|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU|ZUS,noun,,,,,,,,cum laude; good; non-rivalrous good,0.242869,0.184798,0.98056,0.0,1.0,0.812,0.860109,1.0,1.0
10,müssen,,0.107397,0.107397,0.0,0.10-0.15,33.0,1816.366957,normal_vocab,VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,verb,,,,,,,,want; have got to; have to,0.316259,0.245789,0.98056,0.0,1.0,0.770667,0.0,0.698555,1.0
11,woche,,0.108494,0.108494,0.0,0.10-0.15,55.0,1422.999418,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,week; twice a week; during the week,0.361011,0.282693,0.986392,1.0,1.0,0.717333,0.0,0.627474,0.333333
12,stadt,,0.108818,0.108818,0.0,0.10-0.15,49.0,1493.710922,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,town; in town; all over the town,0.350847,0.274661,0.988336,1.0,1.0,0.754667,0.700744,0.810714,0.666667
13,kind,,0.111134,0.111134,0.0,0.10-0.15,44.0,1582.796281,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,child; bairn; children aged three,0.341398,0.266547,0.986392,1.0,1.0,0.702667,0.758866,1.0,1.0
14,ich,,0.112704,0.112704,0.0,0.10-0.15,47.0,1557.462632,normal_vocab,PRO:PER:NOM:SIN:ALG|SUB:AKK:PLU:NEU|SUB:AKK:SIN:NEU|SUB:DAT:PLU:NEU|SUB:DAT:SIN:NEU|SUB:GEN:PLU:NEU|SUB:GEN:SIN:NEU|SUB:NOM:PLU:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,i; me; my sister and i,0.347186,0.270543,0.892,0.0,0.0,0.944,1.0,1.0,0.666667
15,deutsch,,0.113913,0.113913,0.0,0.10-0.15,21.0,2118.004416,normal_vocab,ADJ:PRD:GRU|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:GEN:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,german; converse in german; talk to sb. in german,0.277218,0.216579,0.988336,1.0,1.0,0.698667,0.624325,1.0,0.333333
16,frau,,0.114698,0.114698,0.0,0.10-0.15,53.0,1440.538098,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,woman; the new woman; a daughter of eve,0.357749,0.280282,0.986392,1.0,1.0,0.754667,0.781766,1.0,0.666667
17,unser,,0.119046,0.119046,0.0,0.10-0.15,48.0,1516.399849,normal_vocab,PRO:PER:GEN:SIN:ALG|PRO:POS:AKK:SIN:NEU:BEG|PRO:POS:NOM:SIN:MAS:BEG|PRO:POS:NOM:SIN:NEU:BEG|PRO:REF:GEN:PLU:ALG,other,,,,,,,,our; of us,0.349035,0.272905,0.76,0.0,0.0,0.724,0.802134,0.428317,0.666667
18,vier,,0.12019,0.12019,0.0,0.10-0.15,97.0,1073.75697,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM|ZAL,noun,,,,,,,,four,0.411199,0.324474,0.986392,1.0,1.0,0.725333,0.678788,0.270238,0.333333
19,wer,,0.120889,0.120889,0.0,0.10-0.15,66.0,1315.957791,normal_vocab,PRO:RIN:NOM:FEM|PRO:RIN:NOM:MAS,other,,,,,,,,who; whoever; whoever he might be,0.377095,0.295476,0.9568,0.0,1.0,0.781333,0.797217,0.698555,0.666667
20,beide,,0.121008,0.121008,0.0,0.10-0.15,39.0,1757.208711,normal_vocab,PRO:DEM:AKK:PLU:FEM:B/S|PRO:DEM:AKK:PLU:MAS:B/S|PRO:DEM:AKK:PLU:NEU:B/S|PRO:DEM:NOM:PLU:FEM:B/S|PRO:DEM:NOM:PLU:MAS:B/S|PRO:DEM:NOM:PLU:NEU:B/S,other,,,,,,,,both; the two; one of the two,0.330834,0.255473,0.986392,1.0,1.0,0.717333,0.043538,1.0,0.666667
21,denn,,0.122936,0.122936,0.0,0.10-0.15,45.0,1580.847539,normal_vocab,KON:NEB|KON:VGL,other,,,,,,,,"so; so, what's going on (here)?; so, what's the matter with her?",0.343369,0.267693,0.9244,1.0,0.0,0.796,0.794403,1.0,0.333333
22,hoch,,0.127525,0.127525,0.0,0.10-0.15,35.0,1789.223762,normal_vocab,ADJ:PRD:GRU|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU|ZUS,noun,,,,,,,,high; high-pressure area; high-pressure region,0.321385,0.249367,0.986392,1.0,1.0,0.704,0.688561,1.0,1.0
23,alt,,0.128653,0.128653,0.0,0.10-0.15,43.0,1587.528941,normal_vocab,ADJ:PRD:GRU|SUB:AKK:PLU:NEU|SUB:AKK:SIN:MAS|SUB:AKK:SIN:NEU|SUB:DAT:PLU:NEU|SUB:DAT:SIN:MAS|SUB:DAT:SIN:NEU|SUB:GEN:PLU:NEU|SUB:NOM:PLU:NEU|SUB:NOM:SIN:MAS|SUB:NOM:SIN:NEU,noun,,,,,,,,alto; contralto; top-fermented german dark beer,0.339382,0.265288,0.98056,0.0,1.0,0.688,0.732306,1.0,1.0
24,laut,,0.12868,0.12868,0.0,0.10-0.15,37.0,1771.40669,normal_vocab,ADJ:PRD:GRU|PRP:MOD:GEN|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,ejaculation; ejaculation of surprise; sound,0.326234,0.252538,0.986392,1.0,1.0,0.697333,0.605049,1.0,1.0
25,wenn,,0.129949,0.129949,0.0,0.10-0.15,128.0,935.257076,normal_vocab,KON:UNT,other,,,,,,,,if; should; if … then,0.435849,0.344982,0.986392,1.0,1.0,0.868,0.865931,0.897712,1.0
26,fünf,,0.130864,0.130864,0.0,0.10-0.15,138.0,867.051098,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM|ZAL,noun,,,,,,,,five,0.442544,0.352476,0.98056,0.0,1.0,0.705333,0.248183,0.270238,0.333333
27,monat,,0.130888,0.130888,0.0,0.10-0.15,113.0,1024.342435,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,month; first half of the month; the month of may,0.424762,0.334305,0.988336,1.0,1.0,0.665333,0.688932,0.540476,0.333333
28,auf,,0.131552,0.131552,0.0,0.10-0.15,80.0,1192.630247,normal_vocab,PRP:LOK+MOD+CAU+TMP:DAT+AKK|ZUS,other,,,,,,,,on; in; at,0.394113,0.30979,0.892,0.0,0.0,0.918667,0.882489,1.0,1.0
29,ohne,,0.132567,0.132567,0.0,0.10-0.15,76.0,1245.107091,normal_vocab,KON:INF|KON:UNT|PRP:MOD:AKK,other,,,,,,,,un…; without; sans,0.389571,0.305124,0.98056,0.0,1.0,0.793333,0.0,0.897712,1.0
30,dort,,0.133112,0.133112,0.0,0.10-0.15,58.0,1395.299439,normal_vocab,ADV:LOK,adverb,,,,,,,,there,0.365691,0.286256,0.986392,1.0,1.0,0.770667,0.617352,0.270238,0.333333
31,sonntag,,0.133953,0.133953,0.0,0.10-0.15,143.0,844.501366,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,sunday,0.445714,0.355545,0.991835,1.0,1.0,0.668,0.562228,0.270238,0.333333
32,freitag,,0.134955,0.134955,0.0,0.10-0.15,144.0,838.794335,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,friday; thank god it's friday!,0.446335,0.356228,0.991835,1.0,1.0,0.654667,0.562626,0.428317,0.333333
33,samstag,,0.135883,0.135883,0.0,0.10-0.15,155.0,815.270233,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,saturday,0.452892,0.361266,0.988336,1.0,1.0,0.657333,0.554161,0.270238,0.333333
34,auto,,0.136282,0.136282,0.0,0.10-0.15,175.0,775.599409,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,car; automobile; a car with a capital c,0.463711,0.369727,0.986392,1.0,1.0,0.706667,0.69657,0.810714,1.0
35,hier,,0.137231,0.137231,0.0,0.10-0.15,34.0,1797.71471,normal_vocab,ADV:LOK,adverb,,,,,,,,here; here and now; hic et nunc,0.318859,0.247739,0.986392,1.0,1.0,0.834667,0.871917,0.698555,1.0
36,straße,,0.138423,0.138423,0.0,0.10-0.15,139.0,864.545572,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,avenue; alley; strait,0.443187,0.352975,0.98056,0.0,1.0,0.702667,0.0,1.0,1.0
37,mein,,0.139695,0.139695,0.0,0.10-0.15,174.0,776.434584,normal_vocab,PRO:POS:AKK:SIN:NEU:BEG|PRO:POS:NOM:SIN:MAS:BEG|PRO:POS:NOM:SIN:NEU:BEG|VER:1:SIN:PRÄ:SFT|VER:IMP:SIN:SFT,verb,,,,,,,,my,0.4632,0.369391,0.832,1.0,0.0,0.789333,0.890748,0.270238,0.333333
38,sie,,0.142084,0.142084,0.0,0.10-0.15,199.0,697.232132,normal_vocab,PRO:PER:AKK:PLU:ALG|PRO:PER:AKK:PLU:ALG:2:A|PRO:PER:AKK:SIN:ALG:2:A|PRO:PER:AKK:SIN:ALG:2:B|PRO:PER:AKK:SIN:FEM|PRO:PER:NOM:PLU:ALG|PRO:PER:NOM:SIN:ALG:2:A|PRO:PER:NOM:SIN:ALG:2:B|PRO:PER:NOM:SIN:FEM,other,,,,,,,,"you; could you pass me the bread, please?; yourself",0.475176,0.381392,0.98056,0.0,1.0,0.909333,0.973145,0.758654,1.0
39,problem,,0.142422,0.142422,0.0,0.10-0.15,152.0,817.497367,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,problem; solve a problem; resolve a problem,0.451151,0.360171,0.995101,1.0,1.0,0.716,0.138011,1.0,0.333333
40,wenig,,0.142856,0.142856,0.0,0.10-0.15,32.0,1839.055884,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,little; as little as possible; scant,0.313582,0.243691,0.988336,1.0,1.0,0.732,0.72187,0.758654,0.666667
41,oktober,,0.143417,0.143417,0.0,0.10-0.15,247.0,582.117144,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:GEN:SIN:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,october,0.494468,0.40108,0.988336,1.0,1.0,0.68,0.0,0.270238,0.333333
42,groß,,0.144065,0.144065,0.0,0.10-0.15,6.0,3771.5122,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,ample; extensive; major,0.174517,0.131032,0.98056,0.0,1.0,0.694667,0.767339,1.0,1.0
43,minute,,0.144068,0.144068,0.0,0.10-0.15,179.0,752.214502,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,minute; last-minute; be within 30 minutes of …,0.465726,0.372376,0.988336,1.0,1.0,0.638667,0.0,0.627474,0.333333
44,mittwoch,,0.144445,0.144445,0.0,0.10-0.15,197.0,700.294441,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,wednesday,0.474274,0.380676,0.991835,1.0,1.0,0.625333,0.511961,0.270238,0.333333
45,montag,,0.145053,0.145053,0.0,0.10-0.15,212.0,671.341699,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,monday; i need the book by monday.,0.480823,0.386402,0.988336,1.0,1.0,0.649333,0.554521,0.428317,0.333333
46,da,,0.145527,0.145527,0.0,0.10-0.15,22.0,2103.806436,normal_vocab,ADV:LOK|KON:UNT|ZUS,adverb,,,,,,,,when; those days when people saw themselves as being part of nature; i knew him when.,0.281204,0.219111,0.98056,0.0,1.0,0.849333,0.853455,1.0,1.0
47,juni,,0.145666,0.145666,0.0,0.10-0.15,263.0,563.604093,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,june,0.500075,0.40579,0.986392,1.0,1.0,0.68,0.496621,0.270238,0.333333
48,thema,,0.146307,0.146307,0.0,0.10-0.15,147.0,829.050624,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,issue; issue at stake; bring an issue forward for debate,0.448171,0.357826,0.991835,1.0,1.0,0.714667,0.573393,1.0,1.0
49,welt,,0.146379,0.146379,0.0,0.10-0.15,172.0,782.97679,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,world; the third world; the developed world,0.462169,0.368402,0.986392,1.0,1.0,0.754667,0.722588,0.968794,0.333333
50,ins,,0.146894,0.146894,0.0,0.10-0.15,57.0,1407.966263,normal_vocab,PRP:LOK:AKK,other,,,,,,,,,0.364158,0.284958,0.0,0.0,0.0,0.757333,0.730759,0.0,0.0
51,zehn,,0.14691,0.14691,0.0,0.10-0.15,208.0,678.719081,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM|ZAL,noun,,,,,,,,ten; the top ten,0.479123,0.384917,0.986392,1.0,1.0,0.677333,0.0,0.428317,0.333333
52,mögen,,0.146989,0.146989,0.0,0.10-0.15,164.0,792.581305,normal_vocab,VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,verb,,,,,,,,may; will,0.457923,0.365453,0.98056,0.0,1.0,0.626667,0.0,0.428317,0.666667
53,dienstag,,0.147231,0.147231,0.0,0.10-0.15,215.0,666.052256,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,tuesday,0.482078,0.38749,0.991835,1.0,1.0,0.618667,0.533348,0.270238,0.333333
54,sechs,,0.147442,0.147442,0.0,0.10-0.15,241.0,590.886484,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM|ZAL,noun,,,,,,,,six,0.492271,0.39912,0.986392,1.0,1.0,0.684,0.043538,0.270238,0.333333
55,geld,,0.147625,0.147625,0.0,0.10-0.15,198.0,699.459266,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,money; easy money; keep money in the bank,0.474726,0.380984,0.986392,1.0,1.0,0.745333,0.744101,1.0,0.333333
56,märz,,0.148186,0.148186,0.0,0.10-0.15,283.0,543.977475,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,march,0.506624,0.411175,0.98056,0.0,1.0,0.686667,0.069005,0.270238,0.333333
57,familie,,0.148429,0.148429,0.0,0.10-0.15,187.0,732.72708,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,family; the close family; a family of three,0.469626,0.375841,0.995101,1.0,1.0,0.721333,0.713498,1.0,0.333333
58,land,,0.148554,0.148554,0.0,0.10-0.15,165.0,791.189347,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,federal state; land; by land and by sea,0.458465,0.36584,0.986392,1.0,1.0,0.729333,0.706338,1.0,1.0
59,weit,,0.148957,0.148957,0.0,0.10-0.15,16.0,2569.834222,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,ample; extensive; an ample garden,0.254095,0.194123,0.986392,1.0,1.0,0.72,0.694638,1.0,1.0
60,donnerstag,,0.149732,0.149732,0.0,0.10-0.15,206.0,682.477369,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,thursday,0.478261,0.384165,0.988336,1.0,1.0,0.62,0.531064,0.270238,0.333333
61,sommer,,0.150927,0.150927,0.0,0.15-0.20,315.0,508.760919,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,summer; summers,0.516199,0.419807,0.986392,1.0,1.0,0.677333,0.043538,0.428317,0.666667
62,sein,,0.151033,0.151033,0.0,0.15-0.20,1.0,7562.372627,normal_vocab,PRO:POS:AKK:SIN:NEU:BEG|PRO:POS:NOM:SIN:MAS:BEG|PRO:POS:NOM:SIN:NEU:BEG|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU|VER:AUX:INF|VER:INF:NON,noun,,,,,,,,existence; being; be or not to be,0.062164,0.03419,0.986392,1.0,1.0,0.842667,0.859287,1.0,1.0
63,nichts,,0.151036,0.151036,0.0,0.15-0.20,166.0,790.354171,normal_vocab,PRO:IND:AKK:SIN:ALG:B/S|PRO:IND:NOM:SIN:ALG:B/S,other,,,,,,,,emptiness; void; nothing,0.459003,0.366189,0.9352,1.0,0.0,0.784,0.043538,1.0,1.0
64,dezember,,0.151229,0.151229,0.0,0.15-0.20,317.0,507.36896,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:GEN:SIN:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,december,0.516765,0.420256,0.98056,0.0,1.0,0.672,0.0,0.270238,0.333333
65,alle,,0.15162,0.15162,0.0,0.15-0.20,9.0,3249.110086,normal_vocab,PRO:IND:AKK:PLU:FEM:B/S|PRO:IND:AKK:PLU:MAS:B/S|PRO:IND:AKK:PLU:NEU:B/S|PRO:IND:AKK:SIN:FEM:B/S|PRO:IND:NOM:PLU:FEM:B/S|PRO:IND:NOM:PLU:MAS:B/S|PRO:IND:NOM:PLU:NEU:B/S,other,,,,,,,,all; all-in-one; that's all,0.206506,0.156135,0.55,0.0,0.0,0.82,0.184944,1.0,0.666667
66,september,,0.152012,0.152012,0.0,0.15-0.20,262.0,564.578464,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:GEN:SIN:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,september,0.499734,0.405516,0.9352,1.0,0.0,0.689333,0.0,0.270238,0.333333
67,januar,,0.152134,0.152134,0.0,0.15-0.20,335.0,483.984053,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,january,0.521703,0.425345,0.988336,1.0,1.0,0.670667,0.476315,0.270238,0.333333
68,gerade,,0.152147,0.152147,0.0,0.15-0.20,148.0,823.621985,normal_vocab,ADJ:AKK:PLU:FEM:GRU:SOL|ADJ:AKK:PLU:MAS:GRU:SOL|ADJ:AKK:PLU:NEU:GRU:SOL|ADJ:AKK:SIN:FEM:GRU:DEF|ADJ:AKK:SIN:FEM:GRU:IND|ADJ:AKK:SIN:FEM:GRU:SOL|ADJ:AKK:SIN:NEU:GRU:DEF|ADJ:NOM:PLU:FEM:GRU:SOL|ADJ:NOM:PLU:MAS:GRU:SOL|ADJ:NOM:PLU:NEU:GRU:SOL|ADJ:NOM:SIN:FEM:GRU:DEF|ADJ:NOM:SIN:FEM:GRU:IND|ADJ:NOM:SIN:FEM:GRU:SOL|ADJ:NOM:SIN:MAS:GRU:DEF|ADJ:NOM:SIN:NEU:GRU:DEF|ADJ:PRD:GRU|ADV|SUB:AKK:SIN:FEM|SUB:AKK:SIN:FEM:ADJ|SUB:AKK:SIN:NEU:ADJ|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM|SUB:NOM:SIN:FEM:ADJ|SUB:NOM:SIN:MAS:ADJ|SUB:NOM:SIN:NEU:ADJ|ZUS,noun,,,,,,,,at this moment; at the moment; at this instant,0.448775,0.358489,0.988336,1.0,1.0,0.769333,0.0,1.0,1.0
69,heute,,0.15263,0.15263,0.0,0.15-0.20,81.0,1174.534783,normal_vocab,ADV:TMP,adverb,,,,,,,,today; from this day forth; nowadays,0.395213,0.311165,0.986392,1.0,1.0,0.784,0.069005,0.758654,1.0
70,meter,,0.152745,0.152745,0.0,0.15-0.20,252.0,575.296546,normal_vocab,SUB:AKK:PLU:MAS|SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:PLU:MAS|SUB:NOM:PLU:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,metre; meter; metres,0.496258,0.402658,0.919,0.0,1.0,0.674667,0.589224,0.627474,1.0
71,seit,,0.152824,0.152824,0.0,0.15-0.20,214.0,669.114565,normal_vocab,KON:UNT|PRP:TMP:DAT,other,,,,,,,,since; since the accident; for,0.481662,0.38703,0.986392,1.0,1.0,0.788,0.752965,0.968794,0.666667
72,juli,,0.153023,0.153023,0.0,0.15-0.20,337.0,482.452899,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,july,0.522235,0.425797,0.986392,1.0,1.0,0.68,0.510753,0.270238,0.333333
73,von,,0.153136,0.153136,0.0,0.15-0.20,240.0,591.860855,normal_vocab,PRP:LOK+TMP+MOD+CAU:DAT,other,,,,,,,,from; from the street; a letter from my aunt,0.4919,0.398833,0.892,0.0,0.0,0.932,0.867499,1.0,0.333333
74,februar,,0.153666,0.153666,0.0,0.15-0.20,349.0,465.749394,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,february,0.525364,0.429289,0.988336,1.0,1.0,0.668,0.46553,0.270238,0.333333
75,lang,,0.153848,0.153848,0.0,0.15-0.20,84.0,1162.424742,normal_vocab,ADJ:PRD:GRU|VER:IMP:SIN:SFT|ZUS,adjective,,,,,,,,oblong; an oblong table; long,0.398436,0.313459,0.986392,1.0,1.0,0.710667,0.77463,0.540476,0.666667
76,können,,0.153868,0.153868,0.0,0.15-0.20,5.0,4037.237123,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU|VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,noun,,,,,,,,workmanship; proficiency; demonstrate your proficiency (in sth.),0.160693,0.119999,0.98056,0.0,1.0,0.816,0.0,0.856635,1.0
