rank,lemma,reading,score,model_score,correction_delta,band,core_rank,pmw,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,translations,rank_base,frequency_blend,learner_source_confidence,goethe_stem_learner_source_known,openlingo_learner_source_known,wordfreq_de_commonness_score,opensubtitles_cistem_frequency_score,translation_count_score,reverse_support_score
44222,aufhellung,,0.841826,0.841826,0.0,0.80-0.85,38473.0,1.113567,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,clarification; fill-light,0.946863,0.933067,0.0,0.0,0.0,0.329333,0.087075,0.428317,0.666667
44223,abgegriffen,,0.841836,0.841836,0.0,0.80-0.85,40306.0,0.974371,normal_vocab,PA2:PRD:GRU:VER|VER:PA2:NON,verb,,,,,,,,hackneyed; hacky; time-worn,0.951037,0.938795,0.0,0.0,0.0,0.365333,0.0,1.0,1.0
44224,stabilisator,,0.841839,0.841839,0.0,0.80-0.85,39835.0,1.113567,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,balancer; stabilizer; anti-roll bar,0.949983,0.934783,0.0,0.0,0.0,0.338667,0.334956,0.627474,1.0
44225,kriegspropaganda,,0.841842,0.841842,0.0,0.80-0.85,39252.0,1.113567,normal_vocab,,other,,,,,,,,wartime propaganda,0.94866,0.934056,0.0,0.0,0.0,0.334667,0.0,0.270238,0.333333
44226,dissens,,0.841847,0.841847,0.0,0.80-0.85,40713.0,0.974371,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:GEN:SIN:NEU:INF|SUB:NOM:SIN:MAS,noun,,,,,,,,difference of opinion; divergence of opinion; disagreement,0.951938,0.939291,0.0,0.0,0.0,0.368,0.0,0.698555,1.0
44227,registrierkasse,,0.841848,0.841848,0.0,0.80-0.85,37815.0,1.252763,normal_vocab,,other,,,,,,,,cash register; register,0.945316,0.929002,0.0,0.0,0.0,0.302667,0.0,0.428317,0.666667
44228,vortrefflich,,0.841848,0.841848,0.0,0.80-0.85,42351.0,0.974371,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,rare; admirably; surpassing,0.955475,0.941236,0.0,0.0,0.0,0.378667,0.365194,0.627474,1.0
44229,vulgo,,0.841849,0.841849,0.0,0.80-0.85,42352.0,0.974371,normal_vocab,,other,,,,,,,,,0.955477,0.941238,0.0,0.0,0.0,0.378667,0.0,0.0,0.0
44230,datenmaterial,,0.84185,0.84185,0.0,0.80-0.85,38680.0,1.113567,normal_vocab,,other,,,,,,,,data; data set; set of data,0.947344,0.933331,0.0,0.0,0.0,0.330667,0.138011,0.540476,1.0
44231,retrospektiv,,0.841852,0.841852,0.0,0.80-0.85,39648.0,1.113567,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,retrospective,0.949561,0.934551,0.0,0.0,0.0,0.337333,0.243156,0.270238,0.333333
44232,entwicklungsschritt,,0.84186,0.84186,0.0,0.80-0.85,37083.0,1.252763,normal_vocab,,other,,,,,,,,stage of development; step of development; evolutionary step,0.943562,0.928038,0.0,0.0,0.0,0.297333,0.087075,0.540476,1.0
44233,liefernd,,0.841866,0.841866,0.0,0.80-0.85,56509.0,0.417588,normal_vocab,PA1:PRD:GRU:VER|VER:PA1:SFT,verb,,,,,,,,issuing; delivering; supplying with,0.98134,0.972155,0.3,1.0,0.0,0.0,0.0,0.897712,1.0
44234,einspeichern,,0.84187,0.84187,0.0,0.80-0.85,34244.0,1.531155,normal_vocab,SUB:AKK:SIN:NEU:INF|SUB:DAT:SIN:NEU:INF|SUB:NOM:SIN:NEU:INF|VER:1:PLU:KJ1:SFT:NEB|VER:1:PLU:PRÄ:SFT:NEB|VER:3:PLU:KJ1:SFT:NEB|VER:3:PLU:PRÄ:SFT:NEB|VER:INF:SFT,noun,,,,,,,,,0.93642,0.918239,0.0,0.0,0.0,0.236,0.0,0.0,0.0
44235,wasserratte,,0.841879,0.841879,0.0,0.80-0.85,36621.0,1.391959,normal_vocab,,other,,,,,,,,river rat; nutria; coypu,0.942438,0.924399,0.0,0.0,0.0,0.273333,0.0,0.627474,1.0
44236,zusammengehörigkeitsgefühl,,0.84188,0.84188,0.0,0.80-0.85,40259.0,1.113567,normal_vocab,,other,,,,,,,,feeling of solidarity; feeling/sense of togetherness/kinship/a common bond; communal spirit,0.950932,0.935305,0.0,0.0,0.0,0.341333,0.0,0.810714,1.0
44237,säumig,,0.841887,0.841887,0.0,0.80-0.85,36445.0,1.391959,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,tardy; delinquent; dilatory ad,0.942006,0.924161,0.0,0.0,0.0,0.272,0.0,0.540476,1.0
44238,dümmlich,,0.841889,0.841889,0.0,0.80-0.85,40744.0,0.974371,normal_vocab,ADJ:PRD:GRU,adjective,,,,,,,,silly; foolish; dippy,0.952006,0.939328,0.0,0.0,0.0,0.368,0.0,0.810714,1.0
